Medicamento,Especie de destino,Reacciones Adversas
CYCLIX 250 µg/ml SOLUCION INYECTABLE PARA BOVINO # CYCLIX BOVINO 250 mcg/ml SOLUCION INYECTABLE,Bovino,Retención placentaria
AMOXICILINA KARIZOO 500 mg/g POLVO PARA ADMINISTRACIÓN EN AGUA DE BEBIDA,Porcino,Diarrea
KARIDOX 100 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS Y CERDOS,Porcino,Alergia
LINCOSOL 400 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA # LINCOSOL 40% POLVO ORAL,Porcino,Inflamación local
KARIFLOX 5 mg/ml SOLUCION ORAL PARA LECHONES,Porcino,Ninguna
KEFLORIL 300 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Alergia
KEFLORIL 300 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Alergia
LABIPITUIN,Ovino,Ninguna
PROSYL,Porcino,Hipersalivación
RUMINTRAL,Ovino,Bradicardia
RUMINTRAL,Caprino,Bradicardia
RUMINTRAL,Bovino,Bradicardia
RUMINTRAL,Caballos,Bradicardia
ESBANE PORCINO Y CONEJOS 500 mg/g,Porcino,Alteración de la microbiota intestinal
PREDNISOLONA FATRO # PREDNISOLONA IVEN,Perros,Cushing
PREDNISOLONA FATRO # PREDNISOLONA IVEN,Gatos,Cushing
TENICIPEN # TENICIVEN,Perros,Diarrea
TENICIPEN # TENICIVEN,Gatos,Diarrea
Z-19,Caprino,Ninguna
Z-19,Porcino,Ninguna
Z-19,Bovino,Ninguna
OXITETRACICLINA SOLUBLE MAYMO,Porcino,Decoloración dental
OXITETRACICLINA SOLUBLE MAYMO,Pavos,Decoloración dental
OXITETRACICLINA SOLUBLE MAYMO,Gallinas,Decoloración dental
LINCOMAY 400 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA # LINCOMAY,Porcino,Irritabilidad
SEDASTART 1 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,Perros,Extrasístoles
SEDASTART 1 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,Gatos,Extrasístoles
SEDASTOP 5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,Perros,Hiperexcitación
SEDASTOP 5 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,Gatos,Hiperexcitación
AVIPRO PRECISE,Gallinas,Ninguna
MARBOX 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Reacción local
"OXITEVALL 869,6 mg/g POLVO PARA ADMINISTRACIÓN EN AGUA DE BEBIDA # OXITEVALL POLVO",Porcino,Fotosensibilidad
"OXITEVALL 869,6 mg/g POLVO PARA ADMINISTRACIÓN EN AGUA DE BEBIDA # OXITEVALL POLVO",Ovino,Fotosensibilidad
OXITEVALL 200 g/kg PREMEZCLA MEDICAMENTOSA,Porcino,Alergia
GENTAVALL 40 mg/ml SOLUCION INYECTABLE,Gatos,Reacción en el punto de inyección
GENTAVALL 40 mg/ml SOLUCION INYECTABLE,Perros,Reacción en el punto de inyección
TILOVALL 200 mg/ml SOLUCIÓN INYECTABLE,Bovino,Hemorragia local
TILOVALL 200 mg/ml SOLUCIÓN INYECTABLE,Porcino,Hemorragia local
TILOVALL 200 mg/ml SOLUCIÓN INYECTABLE,Gatos,Hemorragia local
TILOVALL 200 mg/ml SOLUCIÓN INYECTABLE,Perros,Hemorragia local
LINESVALL 150 mg/ml SOLUCION INYECTABLE,Perros,Dolor en el punto de inyección
LINESVALL 150 mg/ml SOLUCION INYECTABLE,Porcino,Dolor en el punto de inyección
LINESVALL 150 mg/ml SOLUCION INYECTABLE,Bovino,Dolor en el punto de inyección
OXIPART-VALL,Ovino,Ninguna
VETFLURANE 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR,Perros,Arritmia
VETFLURANE 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR,Gatos,Arritmia
VETFLURANE 1000 mg/g LIQUIDO PARA INHALACION DEL VAPOR,Caballos,Arritmia
TILOVALL 1000 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA O EN LECHE # TILOVALL POLVO,Porcino,PETEQUIA EN MUCOSA
CEBIN AMOXICILINA 500,Porcino,Diarrea
TORPHASOL 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS,Caballos,Fallo cardiorrespiratorio
ENROVALL 50 mg/ml SOLUCION INYECTABLE,Porcino,Reacción en el punto de inyección
KETOFEN 100 mg/ml SOLUCION INYECTABLE # KETOFEN 10%,Bovino,Úlcera gástrica
KETOFEN 100 mg/ml SOLUCION INYECTABLE # KETOFEN 10%,Caballos,Úlcera gástrica
KETOFEN 100 mg/ml SOLUCION INYECTABLE # KETOFEN 10%,Porcino,Úlcera gástrica
PARAMECTIN INYECTABLE,Porcino,Inflamación en el punto de inyección
NISAMOX 50 mg COMPRIMIDOS PARA PERROS Y GATOS,Gatos,Diarrea
NISAMOX 50 mg COMPRIMIDOS PARA PERROS Y GATOS,Perros,Diarrea
NISINJECT 175 mg SUSPENSION INYECTABLE # NISAMOX 175 mg SUSPENSION INYECTABLE,Bovino,Dolor en el punto de inyección
NISINJECT 175 mg SUSPENSION INYECTABLE # NISAMOX 175 mg SUSPENSION INYECTABLE,Perros,Dolor en el punto de inyección
"ANESVET 20/0,02 mg/ml SOLUCIÓN INYECTABLE",Perros,Ansiedad
"ANESVET 20/0,02 mg/ml SOLUCIÓN INYECTABLE",Caballos,Ansiedad
"ANESVET 20/0,02 mg/ml SOLUCIÓN INYECTABLE",Gatos,Ansiedad
ALAMYCIN LA 300,Porcino,Reacción local
ALAMYCIN LA 300,Ovino,Reacción local
ALAMYCIN LA 300,Bovino,Reacción local
NOROMECTIN 10 mg/ml  SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Inflamación en el punto de inyección
NOROMECTIN 10 mg/ml  SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Inflamación en el punto de inyección
PREVICOX 57 MG COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Diarrea
PREVICOX 227 MG COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Diarrea
SOLUDOX 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA PORCINO Y POLLOS,Porcino,Alergia
MAXYL,Porcino,Diarrea
CENTIDOX 1000 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA O EN LECHE O LACTORREEMPLAZANTE PARA TERNEROS Y PORCINO,Porcino,Cardiopatía
BAYTRIL 50 mg/ml SOLUCION INYECTABLE # BAYTRIL 5% SOLUCION INYECTABLE,Perros,Reacción en el punto de inyección
BAYTRIL 50 mg/ml SOLUCION INYECTABLE # BAYTRIL 5% SOLUCION INYECTABLE,Caprino,Reacción en el punto de inyección
BAYTRIL 50 mg/ml SOLUCION INYECTABLE # BAYTRIL 5% SOLUCION INYECTABLE,Gatos,Reacción en el punto de inyección
BAYTRIL 50 mg/ml SOLUCION INYECTABLE # BAYTRIL 5% SOLUCION INYECTABLE,Ovino,Reacción en el punto de inyección
BAYTRILUNO 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO # BAYTRILUNO 100 mg/ml SOLUCION INYECTABLE PARA BOVINOS,Bovino,Enrojecimiento en el punto de inyección
BAYTRILUNO 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO # BAYTRILUNO 100 mg/ml SOLUCION INYECTABLE PARA BOVINOS,Porcino,Enrojecimiento en el punto de inyección
ELOX COLLAR PARA GATOS # ELOX COLLAR,Gatos,Hipersalivación
ELOX COLLAR PARA GATOS # ELOX COLLAR,Perros,Hipersalivación
REANEST 1 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,Perros,Dolor en el punto de inyección
REANEST 1 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,Gatos,Dolor en el punto de inyección
SEDEDORM 1 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,Gatos,Dolor en el punto de inyección
SEDEDORM 1 mg/ml SOLUCION INYECTABLE PARA GATOS Y PERROS,Perros,Dolor en el punto de inyección
"TIAMULINA 125 mg/ml VETPHARMA, SOLUCIÓN PARA ADMINISTRACIÓN EN AGUA DE BEBIDA # TIAMULINA 125 mg/ml VETPHARMA",Porcino,Reacción de hipersensibilidad
RIFEN 100 mg/ml SOLUCION INYECTABLE PARA EQUINOS BOVINOS Y PORCINOS,Bovino,Úlcera gástrica
RIFEN 100 mg/ml SOLUCION INYECTABLE PARA EQUINOS BOVINOS Y PORCINOS,Porcino,Úlcera gástrica
E-FLOX 100 mg/ml SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA,Gallinas,Ninguna
OXITETRACICLINA BMP 10% PREMEZCLA,Porcino,Ninguna
OXITETRACICLINA BMP 10% PREMEZCLA,Pavos,Ninguna
OXITETRACICLINA BMP 10% PREMEZCLA,Caprino,Ninguna
CLORTETRACICLINA 10% BMP PREMEZCLA,Caprino,Alteración de la microbiota intestinal
CLORTETRACICLINA 10% BMP PREMEZCLA,Ovino,Alteración de la microbiota intestinal
CLORTETRACICLINA 10% BMP PREMEZCLA,Porcino,Alteración de la microbiota intestinal
ARPON,Bovino,Ninguna
XEDEN 150 mg COMPRIMIDO PARA PERROS,Perros,Hiperexcitación
CERENIA 16 mg COMPRIMIDOS PARA PERROS,Perros,Ninguna
CERENIA 24 mg COMPRIMIDOS PARA PERROS,Perros,Ninguna
CERENIA 60 mg COMPRIMIDOS PARA PERROS,Perros,Ninguna
CERENIA 160 mg COMPRIMIDOS PARA PERROS,Perros,Ninguna
CERENIA 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Edema local
CERENIA 10 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Edema local
DEXDOMITOR 0.5 mg/ml SOLUCION INYECTABLE,Perros,Ansiedad
DEXDOMITOR 0.5 mg/ml SOLUCION INYECTABLE,Gatos,Ansiedad
CONVENIA 80 mg/ml POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE PARA PERROS Y GATOS,Gatos,Reacción en el punto de inyección
CONVENIA 80 mg/ml POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE PARA PERROS Y GATOS,Perros,Reacción en el punto de inyección
DRAXXIN 100 mg/ml SOLUCION INYECTABLE PARA GANADO BOVINO PORCINO Y OVINO,Ovino,Fibrosis en el punto de inyección
DRAXXIN 100 mg/ml SOLUCION INYECTABLE PARA GANADO BOVINO PORCINO Y OVINO,Bovino,Fibrosis en el punto de inyección
DRAXXIN 100 mg/ml SOLUCION INYECTABLE PARA GANADO BOVINO PORCINO Y OVINO,Porcino,Fibrosis en el punto de inyección
ANTHELMIN 100 mg/g POLVO PARA SOLUCION ORAL # ANTHELMIN POLVO PARA SOLUCION ORAL,Porcino,Dolor abdominal
ANTHELMIN 100 mg/g POLVO PARA SOLUCION ORAL # ANTHELMIN POLVO PARA SOLUCION ORAL,Ovino,Dolor abdominal
ANTHELMIN 100 mg/g POLVO PARA SOLUCION ORAL # ANTHELMIN POLVO PARA SOLUCION ORAL,Bovino,Dolor abdominal
COLIMICINA SP 2.050.000 UI/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Pavos,Ninguna
COLIMICINA SP 2.050.000 UI/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Porcino,Ninguna
DOXI 100 mg/g S.P. POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Gallinas,Alergia
DOXI 100 mg/g S.P. POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Pavos,Alergia
DOXI 100 mg/g S.P. POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Porcino,Alergia
"LINCOMICINA SP 400 mg/g, POLVO PARA ADMINISTRACIÓN EN AGUA DE BEBIDA # LINCOMICINA SP 400 mg/g",Porcino,Enrojecimiento en el punto de inyección
NEMUTIN POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Porcino,Eritema local
NEMUTIN POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA,Pavos,Eritema local
PENIVEX COMPLEX 200 MG/ML + 200 MG/ML SUSPENSION INYECTABLE,Perros,Hiperexcitación
PENIVEX COMPLEX 200 MG/ML + 200 MG/ML SUSPENSION INYECTABLE,Gatos,Hiperexcitación
PENIVEX COMPLEX 200 MG/ML + 200 MG/ML SUSPENSION INYECTABLE,Porcino,Hiperexcitación
PENIVEX COMPLEX 200 MG/ML + 200 MG/ML SUSPENSION INYECTABLE,Ovino,Hiperexcitación
PENIVEX COMPLEX 200 MG/ML + 200 MG/ML SUSPENSION INYECTABLE,Bovino,Hiperexcitación
DIAMULIN,Porcino,Reacción de hipersensibilidad
EXSPOT,Perros,Alopecia en el punto de inyección
XEDEN 50 mg COMPRIMIDO PARA PERROS,Perros,Hiperexcitación
HY-50 VET 17 mg/ml SOLUCION INYECTABLE,Caballos,Inflamación en el punto de inyección
MELOVEM 5 mg/ml SOLUCION INYECTABLE PARA BOVINO Y CERDOS,Bovino,Reacción anafilactoide
MELOVEM 5 mg/ml SOLUCION INYECTABLE PARA BOVINO Y CERDOS,Porcino,Reacción anafilactoide
"BUSOL 0,004 mg/ml SOLUCION INYECTABLE PARA BOVINO EQUINO Y CONEJOS",Bovino,Ninguna
MARBOCYL F.D.,Perros,Reacción en el punto de inyección
MARBOCYL F.D.,Gatos,Reacción en el punto de inyección
MARBOCYL P 80 mg,Perros,Reacción local
FLOXABACTIN 15 mg COMPRIMIDOS PARA GATOS Y PERROS,Perros,Reacción de hipersensibilidad
FLOXABACTIN 15 mg COMPRIMIDOS PARA GATOS Y PERROS,Gatos,Reacción de hipersensibilidad
ENROTAB 15 mg COMPRIMIDOS PARA GATOS Y PERROS,Perros,Reacción de hipersensibilidad
ENROTAB 15 mg COMPRIMIDOS PARA GATOS Y PERROS,Gatos,Reacción de hipersensibilidad
ENROTAB 50 mg COMPRIMIDOS PARA  PERROS,Perros,Reacción de hipersensibilidad
ENROTAB 150 mg COMPRIMIDOS PARA PERROS,Perros,Reacción de hipersensibilidad
POLIBASCOL 10,Bovino,Inflamación en el punto de inyección
POLIBASCOL 10,Ovino,Inflamación en el punto de inyección
ANTIHISTAMINICO SYVA 25 mg/ml SOLUCIÓN INYECTABLE PARA CABALLOS NO DESTINADOS A CONSUMO HUMANO Y PERROS # ANTIHISTAMINICO SYVA,Perros,Hiperexcitación
"SELEVIT 75 mg/ml + 0,75 mg/ml EMULSION INYECTABLE # SELEVIT EMULSION INYECTABLE",Porcino,Inflamación en el punto de inyección
"SELEVIT 75 mg/ml + 0,75 mg/ml EMULSION INYECTABLE # SELEVIT EMULSION INYECTABLE",Bovino,Inflamación en el punto de inyección
"SELEVIT 75 mg/ml + 0,75 mg/ml EMULSION INYECTABLE # SELEVIT EMULSION INYECTABLE",Ovino,Inflamación en el punto de inyección
"SELEVIT 75 mg/ml + 0,75 mg/ml EMULSION INYECTABLE # SELEVIT EMULSION INYECTABLE",Caprino,Inflamación en el punto de inyección
MEGLUVET 50 mg/ml SOLUCIÓN INYECTABLE # MEGLUVET,Bovino,Hemorragia local
MEGLUVET 50 mg/ml SOLUCIÓN INYECTABLE # MEGLUVET,Caballos,Hemorragia local
PROMILEX,Porcino,Ninguna
PROMILEX,Bovino,Ninguna
APODERM,Perros,Ninguna
APODERM,Ovino,Ninguna
APODERM,Porcino,Ninguna
APODERM,Bovino,Ninguna
APODERM,Gatos,Ninguna
APODERM,Caprino,Ninguna
MELOXIDYL 20 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y EQUINO,Porcino,Reacción anafilactoide
MELOXIDYL 20 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y EQUINO,Bovino,Reacción anafilactoide
"MELOXIDYL 0,5 mg/ml SUSPENSION ORAL PARA GATOS",Gatos,Diarrea
DISTOMICIDE 250 mg/ml SOLUCION INYECTABLE # DISTOMICIDE,Ovino,Ninguna
DISTOMICIDE 250 mg/ml SOLUCION INYECTABLE # DISTOMICIDE,Bovino,Ninguna
"MYCOGAL 0,6 MUI/ml # GANAPORK INYECTABLE",Porcino,Dolor en el punto de administración
"MYCOGAL 0,6 MUI/ml # GANAPORK INYECTABLE",Bovino,Dolor en el punto de administración
DORBENE VET 1 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Dolor en el punto de inyección
DORBENE VET 1 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Dolor en el punto de inyección
COLISTINA DIVASA 2.000.000 UI/ml CONCENTRADO PARA SOLUCION ORAL PARA ADMINISTRACION EN AGUA DE BEBIDA PARA BOVINO OVINO PORCINO Y POLLOS,Porcino,Ninguna
"CLAVUBACTIN 50/12,5 mg COMPRIMIDOS PARA GATOS Y PERROS",Gatos,Diarrea
"CLAVUBACTIN 50/12,5 mg COMPRIMIDOS PARA GATOS Y PERROS",Perros,Diarrea
CLAVUBACTIN 500/125 mg COMPRIMIDOS PARA PERROS,Perros,Diarrea
ANIMEDAZON SPRAY,Bovino,Ninguna
ANIMEDAZON SPRAY,Porcino,Ninguna
ANIMEDAZON SPRAY,Ovino,Ninguna
"MEGANYL 50 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y CABALLOS # MEGANYL 50 mg/ml SOLUCION INYECTABLE PARA BOVINO, PORCINO Y CABALLOS",Bovino,Ataxia
"MEGANYL 50 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y CABALLOS # MEGANYL 50 mg/ml SOLUCION INYECTABLE PARA BOVINO, PORCINO Y CABALLOS",Caballos,Ataxia
"MEGANYL 50 mg/ml SOLUCION INYECTABLE PARA BOVINO PORCINO Y CABALLOS # MEGANYL 50 mg/ml SOLUCION INYECTABLE PARA BOVINO, PORCINO Y CABALLOS",Porcino,Ataxia
PIPERACINA SYVA POLVO ORAL # PIPERACINA SYVA POLVO,Porcino,Diarrea
OVERCID 50 mg COMPRIMIDO PERROS Y GATOS,Perros,Diarrea
OVERCID 50 mg COMPRIMIDO PERROS Y GATOS,Gatos,Diarrea
QUINOVET SOLUCION PARA ADMINISTRACION EN AGUA DE BEBIDA # QUINOVET F,Pavos,Ninguna
SINVERMIN OVINO,Ovino,Ninguna
SYVAQUINOL 25 mg/ml SOLUCION INYECTABLE # SYVAQUINOL-25 INYECTABLE,Perros,Hiperexcitación
"CONTRALAC 0,5 mg COMPRIMIDOS # CONTRALAC 0,5 mg",Perros,Alteración del comportamiento
SOLIGENTAL 3000 UI/ml COLIRIO EN SOLUCION,Perros,Ninguna
SOLIGENTAL 3000 UI/ml COLIRIO EN SOLUCION,Gatos,Ninguna
"EFFIPRO 2,5 mg/ml SOLUCION PARA PULVERIZACION CUTANEA PARA GATOS Y PERROS",Gatos,Hipersalivación
"EFFIPRO 2,5 mg/ml SOLUCION PARA PULVERIZACION CUTANEA PARA GATOS Y PERROS",Perros,Hipersalivación
CORTAVANCE 0.584MG/ML SOLUCION PARA PULVERIZACION CUTANEA PARA PERROS,Perros,Reacción local
VIRBAGEN OMEGA 10 MU PARA PERROS Y GATOS,Gatos,Emesis
VIRBAGEN OMEGA 10 MU PARA PERROS Y GATOS,Perros,Emesis
BUTOMIDOR 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,Caballos,Ataxia
BUTOMIDOR 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,Perros,Ataxia
BUTOMIDOR 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,Gatos,Ataxia
DETONERVIN 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS Y BOVINO # DETONERVIN 10 mg/ml SOLUCION INYECTABLE PARA EQUINOS Y BOVINOS,Bovino,Hiperexcitación
TILMICOSOL 250 mg/ml SOLUCIÓN PARA ADMINISTRACIÓN EN AGUA DE BEBIDA O EN LECHE # TILMICOSOL 250 mg/ml CONCENTRADO PARA SOLUCION ORAL PARA ADMINISTRACION EN AGUA DE BEBIDA O LACTORREEMPLAZANTE,Porcino,Ninguna
TILMICOSOL 250 mg/ml SOLUCIÓN PARA ADMINISTRACIÓN EN AGUA DE BEBIDA O EN LECHE # TILMICOSOL 250 mg/ml CONCENTRADO PARA SOLUCION ORAL PARA ADMINISTRACION EN AGUA DE BEBIDA O LACTORREEMPLAZANTE,Pavos,Ninguna
BRONIPRA-1,Gallinas,Ninguna
HIPRAVIAR-SHS,Gallinas,Ninguna
HIPRAGUMBORO,Gallinas,Ninguna
HIPRAVIAR-S,Gallinas,Ninguna
HIPRAVIAR-CLON,Gallinas,Ninguna
HIPRAGUMBORO-CH/80,Gallinas,Ninguna
HIPRAVIAR-ILT,Gallinas,Ninguna
IVENCILINA 500 mg/g,Porcino,Diarrea
VERSIGUARD RABIA # VANGUARD R,Porcino,Inflamación en el punto de inyección
VERSIGUARD RABIA # VANGUARD R,Perros,Inflamación en el punto de inyección
VERSIGUARD RABIA # VANGUARD R,Caballos,Inflamación en el punto de inyección
VERSIGUARD RABIA # VANGUARD R,Bovino,Inflamación en el punto de inyección
VERSIGUARD RABIA # VANGUARD R,Ovino,Inflamación en el punto de inyección
VERSIGUARD RABIA # VANGUARD R,Caprino,Inflamación en el punto de inyección
VERSIGUARD RABIA # VANGUARD R,Gatos,Inflamación en el punto de inyección
ALBECORIN VACUNO 100 mg/ml SUSPENSION ORAL PARA BOVINO,Bovino,Ninguna
ALBECORIN LANAR 20 mg/ml SUSPENSION ORAL PARA OVINO Y CAPRINO,Ovino,Ninguna
ALBECORIN LANAR 20 mg/ml SUSPENSION ORAL PARA OVINO Y CAPRINO,Caprino,Ninguna
GENESTRAN 75 microgramos/ml SOLUCION INYECTABLE PARA VACUNO EQUINO Y PORCINO,Bovino,INFECCIONES BACTERIANAS
GENESTRAN 75 microgramos/ml SOLUCION INYECTABLE PARA VACUNO EQUINO Y PORCINO,Porcino,INFECCIONES BACTERIANAS
LINCOTRIMEX SOLUCION INYECTABLE,Ovino,Dolor en el punto de inyección
LINCOTRIMEX SOLUCION INYECTABLE,Perros,Dolor en el punto de inyección
LINCOTRIMEX SOLUCION INYECTABLE,Bovino,Dolor en el punto de inyección
METACAM 1 MG COMPRIMIDOS MASTICABLES PARA PERROS,Perros,Diarrea sanguinolenta
"METACAM 2,5 MG COMPRIMIDOS MASTICABLES PARA PERROS",Perros,Diarrea sanguinolenta
ACTIONIS 50 mg/ml SUSPENSION INYECTABLE PARA PORCINO Y BOVINO,Bovino,Reacción anafilactoide
ACTIONIS 50 mg/ml SUSPENSION INYECTABLE PARA PORCINO Y BOVINO,Porcino,Reacción anafilactoide
HIPRAVIAR-B1/H120,Gallinas,Ninguna
FLOXAVEX 100 mg/ml SOLUCION INYECTABLE PARA PORCINO Y BOVINO,Bovino,Inflamación en el punto de inyección
FLOXAVEX 100 mg/ml SOLUCION INYECTABLE PARA PORCINO Y BOVINO,Porcino,Inflamación en el punto de inyección
HIPRAPOX LIOFILIZADO Y DISOLVENTE PARA SUSPENSION INYECTABLE PARA POLLOS Y PAVOS,Pavos,Ninguna
CEVAXEL-RTU 50 mg/ml SUSPENSION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Anafilaxia
CEVAXEL-RTU 50 mg/ml SUSPENSION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Anafilaxia
VOMEND ANTI-EMETICUM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Perros,Vocalización
VOMEND ANTI-EMETICUM 5 mg/ml SOLUCION INYECTABLE PARA PERROS Y GATOS,Gatos,Vocalización
"PHARMASIN 1g/g GRANULADO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA PORCINO, POLLOS, PAVOS Y TERNEROS",Pavos,Edema local
"PHARMASIN 1g/g GRANULADO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA PORCINO, POLLOS, PAVOS Y TERNEROS",Porcino,Edema local
ROXACIN 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Inflamación en el punto de inyección
ROXACIN 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Inflamación en el punto de inyección
CLOSAMECTIN 5 mg/ml+200 mg/ml SOLUCION POUR-ON PARA BOVINO,Bovino,Diarrea
ENRODEXIL 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Reacción local
ENRODEXIL 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Reacción local
CZV REV-1,Ovino,Ninguna
CZV REV-1,Caprino,Ninguna
TERRAMICINA 100 mg/ml SOLUCION INYECTABLE,Porcino,Inflamación en el punto de inyección
TERRAMICINA 100 mg/ml SOLUCION INYECTABLE,Bovino,Inflamación en el punto de inyección
TERRAMICINA 100 mg/ml SOLUCION INYECTABLE,Ovino,Inflamación en el punto de inyección
TERRAMICINA 100 mg/ml SOLUCION INYECTABLE,Caprino,Inflamación en el punto de inyección
LANFLOX 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Bovino,Inflamación en el punto de inyección
LANFLOX 100 mg/ml SOLUCION INYECTABLE PARA BOVINO Y PORCINO,Porcino,Inflamación en el punto de inyección
AUROFAC 250 mg/g PREMEZCLA MEDICAMENTOSA PARA PORCINO Y AVES # AUREO 250 mg/g PREMEZCLA MEDICAMENTOSA PARA PORCINO Y AVES,Porcino,Ninguna
ADENIPRAVAC,Gallinas,Ninguna
HIPRAVIAR-TRT,Pavos,Inflamación local
FORCYL 160 mg/ml SOLUCION INYECTABLE PARA BOVINO,Bovino,Edema en el punto de inyección
DOXICICLINA CALIER 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS PAVOS Y PORCINO,Pavos,Alergia
DOXICICLINA CALIER 500 mg/g POLVO PARA ADMINISTRACION EN AGUA DE BEBIDA PARA POLLOS PAVOS Y PORCINO,Gallinas,Alergia
CEFTIOSAN 50 mg/ml SUSPENSION INYECTABLE PARA PORCINO Y BOVINO,Bovino,Edema local
CEFTIOSAN 50 mg/ml SUSPENSION INYECTABLE PARA PORCINO Y BOVINO,Porcino,Edema local
VERAFLOX 15 mg COMPRIMIDOS PARA PERROS Y GATOS,Perros,Emesis
VERAFLOX 15 mg COMPRIMIDOS PARA PERROS Y GATOS,Gatos,Emesis
TOCO-SELENIO,Ovino,Dolor en el punto de inyección
TOCO-SELENIO,Porcino,Dolor en el punto de inyección
TOCO-SELENIO,Bovino,Dolor en el punto de inyección
VITAMINA B1 50 mg/ml OVEJERO,Bovino,Ninguna
VITAMINA B1 50 mg/ml OVEJERO,Porcino,Ninguna
VITAMINA B1 50 mg/ml OVEJERO,Caprino,Ninguna
VITAMINA B1 50 mg/ml OVEJERO,Ovino,Ninguna
ALVEGESIC VET 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS # ALVEGESIC 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,Gatos,Dolor localizado
ALVEGESIC VET 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS # ALVEGESIC 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,Perros,Dolor localizado
ALVEGESIC VET 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS # ALVEGESIC 10 mg/ml SOLUCION INYECTABLE PARA CABALLOS PERROS Y GATOS,Caballos,Dolor localizado
LACTOFIN 50 mcg/ml SOLUCION ORAL PARA PERROS Y GATOS,Gatos,Emesis
LACTOFIN 50 mcg/ml SOLUCION ORAL PARA PERROS Y GATOS,Perros,Emesis
